iter	MultiClass
0	2.07257548
1	1.750655208
2	1.5804415
3	1.441864688
4	1.320492445
5	1.199748562
6	1.116569226
7	1.037306925
8	0.9605028637
9	0.9036345474
10	0.844792454
11	0.790021289
12	0.7440675915
13	0.7000560167
14	0.6562896367
15	0.6221141603
16	0.589847446
17	0.56158268
18	0.5293383817
19	0.5014910013
20	0.4779986771
21	0.4577208462
22	0.437409145
23	0.4195084641
24	0.4065148153
25	0.3859397739
26	0.367685331
27	0.3536355181
28	0.3405585938
29	0.3268531998
30	0.3144488521
31	0.3029215976
32	0.2927480517
33	0.2857529182
34	0.2795496875
35	0.2722812003
36	0.2669460619
37	0.2623657614
38	0.2562281348
39	0.2488403287
40	0.2415161218
41	0.2403528802
42	0.2383138384
43	0.234715268
44	0.2302593761
45	0.2263962318
46	0.2224704437
47	0.2203571021
48	0.2185165428
49	0.2167822804
50	0.213895292
51	0.2130175587
52	0.2094256293
53	0.2067323435
54	0.2036012802
55	0.202811186
56	0.1961366567
57	0.1946643123
58	0.1936495504
59	0.1929402226
60	0.1925168266
61	0.1917548056
62	0.1913023096
63	0.1911226081
64	0.1877934252
65	0.1869559049
66	0.1860290307
67	0.1851933305
68	0.1850770851
69	0.1822602504
70	0.1821418188
71	0.1812794393
72	0.1803222909
73	0.1796417861
74	0.1794912939
75	0.1793303452
76	0.1784136821
77	0.1770425933
78	0.1765675713
79	0.1757859663
80	0.1748883431
81	0.1729231257
82	0.1726953718
83	0.1722285584
84	0.1719446344
85	0.171832508
86	0.1701886612
87	0.1696969702
88	0.1695242004
89	0.1675029251
90	0.1669900414
91	0.1668501483
92	0.1663983374
93	0.165804144
94	0.1655486036
95	0.1638561273
96	0.1635613474
97	0.1633929448
98	0.1628647644
99	0.162739964
100	0.162608509
101	0.1624053146
102	0.1623246632
103	0.1621855154
104	0.1620870293
105	0.1620086307
106	0.161897645
107	0.1617895594
108	0.1616322654
109	0.1595548969
110	0.1594857853
111	0.1593781096
112	0.1593122675
113	0.1592223835
114	0.159133392
115	0.1590627495
116	0.158965554
117	0.158865634
118	0.1587245482
119	0.1585694313
120	0.1584737138
121	0.1583601179
122	0.1582600389
123	0.1581750882
124	0.1581039272
125	0.1580193194
126	0.1579421057
127	0.1578479611
128	0.1577107843
129	0.15760164
130	0.1575178855
131	0.1573926938
132	0.1573237192
133	0.157247962
134	0.1571354281
135	0.1570780329
136	0.156976366
137	0.1569173149
138	0.1568503753
139	0.1567777737
140	0.1566717091
141	0.1565785609
142	0.1565110245
143	0.1564359912
144	0.156387951
145	0.1562736335
146	0.1562227448
147	0.1561192483
148	0.1560700909
149	0.1559989928
150	0.1559476328
151	0.1558682257
152	0.155816415
153	0.1557515183
154	0.1556847592
155	0.1556464129
156	0.1555919927
157	0.1555496096
158	0.1554866046
159	0.155400193
160	0.1553568598
161	0.1552966487
162	0.1552448805
163	0.1552044031
164	0.1551565584
165	0.1550836244
166	0.1550377696
167	0.1549944746
168	0.1549417526
169	0.1548558124
170	0.154795794
171	0.1547459047
172	0.1546947022
173	0.1546205433
174	0.1545776837
175	0.1545338533
176	0.1544414132
177	0.1543489514
178	0.1542704107
179	0.1542158617
180	0.1541586374
181	0.1540781854
182	0.1540046231
183	0.1539245996
184	0.153872036
185	0.1538121735
186	0.1537667661
187	0.1537140425
188	0.1536673845
189	0.1536179033
190	0.1535758588
191	0.1533044916
