ClientMacAddress,RxRateBitrate,TxRateBitrate,RxRateChWidth,TxRateChWidth
10:ec:81:bb:6a:7a,6000,144400,20,20
10:ec:81:bb:6a:7a,6000,144400,20,20
10:ec:81:bb:6a:7a,6000,144400,20,20
10:ec:81:bb:6a:7a,6000,433300,20,80
10:ec:81:bb:6a:7a,6000,520000,20,80
10:ec:81:bb:6a:7a,6000,520000,20,80
10:ec:81:bb:6a:7a,6000,585100,20,80
10:ec:81:bb:6a:7a,6000,585100,20,80
10:ec:81:bb:6a:7a,6000,585100,20,80
10:ec:81:bb:6a:7a,6000,650000,20,80
10:ec:81:bb:6a:7a,6000,780000,20,80
10:ec:81:bb:6a:7a,6000,780000,20,80
10:ec:81:bb:6a:7a,6000,780000,20,80
10:ec:81:bb:6a:7a,6000,780000,20,80
10:ec:81:bb:6a:7a,6000,780000,20,80
10:ec:81:bb:6a:7a,6000,86700,20,20
10:ec:81:bb:6a:7a,6000,86700,20,20
10:ec:81:bb:6a:7a,6000,585100,20,80
10:ec:81:bb:6a:7a,6000,585100,20,80
10:ec:81:bb:6a:7a,6000,585100,20,80
10:ec:81:bb:6a:7a,6000,585100,20,80
10:ec:81:bb:6a:7a,6000,585100,20,80
10:ec:81:bb:6a:7a,6000,585100,20,80
10:ec:81:bb:6a:7a,6000,585100,20,80
10:ec:81:bb:6a:7a,6000,585100,20,80
10:ec:81:bb:6a:7a,6000,585100,20,80
10:ec:81:bb:6a:7a,6000,585100,20,80
10:ec:81:bb:6a:7a,6000,585100,20,80
10:ec:81:bb:6a:7a,6000,650000,20,80
10:ec:81:bb:6a:7a,6000,650000,20,80
10:ec:81:bb:6a:7a,6000,780000,20,80
10:ec:81:bb:6a:7a,6000,866700,20,80
10:ec:81:bb:6a:7a,6000,650000,20,80
10:ec:81:bb:6a:7a,6000,780000,20,80
10:ec:81:bb:6a:7a,6000,780000,20,80
10:ec:81:bb:6a:7a,6000,780000,20,80
